starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 22 17:30:20 2023	1682202620	62	10601	10664	1975
Sat Apr 22 17:30:02 2023	1682202602	58	10627	10684	5002
Sat Apr 22 17:30:51 2023	1682202651	92	10594	10686	1548
Sat Apr 22 17:30:03 2023	1682202603	60	10629	10689	4316
Sat Apr 22 17:30:24 2023	1682202624	87	10622	10709	5189
Sat Apr 22 17:30:43 2023	1682202643	91	10626	10717	3319
Sat Apr 22 17:30:41 2023	1682202641	87	10642	10729	1494
Sat Apr 22 17:30:42 2023	1682202642	60	10675	10735	1666
Sat Apr 22 17:30:23 2023	1682202623	426	10318	10745	1635
Sat Apr 22 17:30:42 2023	1682202642	69	10682	10751	1597
Sat Apr 22 17:30:47 2023	1682202647	99	10655	10754	656
Sat Apr 22 17:30:53 2023	1682202653	72	10707	10779	4655
Sat Apr 22 17:30:42 2023	1682202642	69	10727	10796	1784
Sat Apr 22 17:30:01 2023	1682202601	104	10693	10797	5866
Sat Apr 22 17:30:41 2023	1682202641	62	10757	10819	1718
Sat Apr 22 17:30:41 2023	1682202641	69	10755	10824	1782
Sat Apr 22 17:30:23 2023	1682202623	63	10773	10836	1523
Sat Apr 22 17:30:24 2023	1682202624	59	10779	10838	5685
Sat Apr 22 17:30:48 2023	1682202648	63	10777	10840	969
