starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 22 17:30:04 2023	1682202604	67	7539	7606	3316
Sat Apr 22 17:31:04 2023	1682202664	62	7549	7612	1561
Sat Apr 22 17:30:07 2023	1682202607	59	7556	7615	1520
Sat Apr 22 17:31:18 2023	1682202678	57	7567	7624	2286
Sat Apr 22 17:30:03 2023	1682202603	61	7579	7640	4139
Sat Apr 22 17:30:39 2023	1682202639	62	7582	7644	595
Sat Apr 22 17:31:19 2023	1682202679	67	7596	7663	2118
Sat Apr 22 17:31:04 2023	1682202664	80	7596	7675	1341
Sat Apr 22 17:31:13 2023	1682202673	69	7607	7676	2431
Sat Apr 22 17:30:40 2023	1682202640	62	7617	7679	420
Sat Apr 22 17:30:46 2023	1682202646	62	7628	7691	753
Sat Apr 22 17:30:20 2023	1682202620	61	7639	7700	828
Sat Apr 22 17:30:29 2023	1682202629	90	7617	7707	2098
Sat Apr 22 17:30:17 2023	1682202617	138	7571	7709	2674
Sat Apr 22 17:30:40 2023	1682202640	70	7639	7709	884
Sat Apr 22 17:30:03 2023	1682202603	60	7651	7711	3757
Sat Apr 22 17:31:02 2023	1682202662	1066	6664	7730	1274
Sat Apr 22 17:30:09 2023	1682202609	96	7657	7753	1023
Sat Apr 22 17:31:22 2023	1682202682	77	7686	7762	2768
Sat Apr 22 17:30:40 2023	1682202640	67	7709	7777	768
Sat Apr 22 17:31:19 2023	1682202679	61	7721	7781	2304
Sat Apr 22 17:30:37 2023	1682202637	60	7743	7803	733
Sat Apr 22 17:31:12 2023	1682202672	63	7747	7810	2861
Sat Apr 22 17:30:10 2023	1682202610	55	7757	7812	886
Sat Apr 22 17:31:11 2023	1682202671	72	7741	7814	3131
Sat Apr 22 17:30:10 2023	1682202610	67	7748	7815	622
Sat Apr 22 17:30:09 2023	1682202609	63	7757	7820	949
Sat Apr 22 17:31:00 2023	1682202660	84	7746	7829	3282
Sat Apr 22 17:30:09 2023	1682202609	62	7778	7839	886
Sat Apr 22 17:30:14 2023	1682202614	62	7780	7842	674
Sat Apr 22 17:30:09 2023	1682202609	64	7779	7843	822
Sat Apr 22 17:30:14 2023	1682202614	76	7775	7851	781
Sat Apr 22 17:30:10 2023	1682202610	71	7785	7855	755
Sat Apr 22 17:30:13 2023	1682202613	59	7802	7861	506
Sat Apr 22 17:30:13 2023	1682202613	85	7797	7882	499
Sat Apr 22 17:31:04 2023	1682202664	67	7817	7884	1718
Sat Apr 22 17:31:05 2023	1682202665	66	7819	7885	2920
Sat Apr 22 17:31:13 2023	1682202673	101	7789	7890	2476
Sat Apr 22 17:30:52 2023	1682202652	59	7831	7890	6470
Sat Apr 22 17:30:14 2023	1682202614	55	7836	7891	798
Sat Apr 22 17:30:13 2023	1682202613	58	7836	7893	448
Sat Apr 22 17:30:09 2023	1682202609	82	7812	7894	736
Sat Apr 22 17:30:13 2023	1682202613	68	7833	7901	548
Sat Apr 22 17:30:15 2023	1682202615	64	7847	7912	576
